Prices
101.69
99.43
99.44
99.25
100.16
100.74
99.93
103.12
102.48
102.78
103.45
102.2
102.2
106.82
109.77
113.91
111.47
112.27
113.34
114.42
115.71
116.58
112.32
115.19
114.07
114.07
112.95
111.11
110.96
114.18
114.13
114.92
115.63
115.65
115.41
115.45
115.95
115.58
115.35
116.94
118.63
120.07
122.87
123.01
122.9
126.3
126.46
122.7
124.63
121.69
121.35
124.26
123.64
123.64
124.55
124.94
126.59
126.59
126.64
124.01
121.55
111.93
113.69
113.21
117.82
115.66
112.87
113.08
113.72
109.39
112.54
113.2
111.25
110.13
112.52
114.47
115.06
114.85
114.85
117.18
116.15
114.3
115.09
115.4
116.14
118.43
119.95
118.71
120.49
120.35
114.67
114.69
113.74
112.21
112.02
113.59
108.27
104.79
104.57
107.57
111.49
111.71
109.82
109.82
113.21
113.55
117.4
117.4
117.35
117.36
118.46
117.38
118.06
117.05
118.18
118.52
118.25
118.99
118.27
118.14
117.99
118.16
115.93
116.37
116.02
113.74
110.22
106.92
103.06
103.63
103.84
107.82
108.17
109.69
111.37
108.36
109.37
108.83
110.35
111.91
111.91
112.29
112.29
115.59
115.92
115.92
113.29
117.5
117.99
115.1
114.75
114.08
113.1
116.71
116.26
112.89
114.39
114.26
109.21
109.17
107.9
109.54
108.52
107.08
105.42
103.61
101.84
103.77
106.56
109.49
109.22
112.44
112.45
114.33
112.92
112.08
111.76
109
111.6
111.67
112.11
110.43
110.01
108.43
106.97
110.82
110.76
112.22
115.61
115.29
114.43
112.57
111.9
111.91
109.25
107.82
105.98
107.77
106.83
106.83
106.08
109.38
111.25
111.22
108.83
109.59
110.18
110.07
108.23
107.91
107.82
109.25
105.72
104.52
104
104.55
107.8
108
108.98
109.28
109.28
109.28
107.54
106.89
108.09
108.09
111.12
113.37
113.59
111.96
111.07
113.3
111.66
112.97
109.88
109.88
110.55
109.81
109.54
108.5
109.46
108.38
108.48
110.5
110.24
110.26
111.96
110.96
112.56
115.47
116.86
117.18
118.4
118.13
118.73
118.3
120.25
121
120.69
120.85
123.07
124.53
124.89
126.46
124.02
122.23
125.76
125.93
126.68
125.03
125.37
128.08
127.27
128.14
126.98
123.63
125.09
125.76
124.38
123.89
122.49
125.21
125.85
125.25
124.41
123.23
123.41
124.44
124.44
123.04
123.58
121.89
120.41
120.57
120.62
118.23
117.41
115.18
117
118.08
116.66
117.74
117.45
119.33
119.3
118.66
117.57
115.91
111.66
111.66
110.48
111.89
112.24
112.5
110.79
111.4
109.8
109.31
108.03
109.02
109.76
106.88
107.2
107.86
107.86
107.55
103.85
103.86
98.63
97.74
98.65
101.14
100.05
97.57
98.6
96.59
97.29
96.46
97.13
95.21
95.14
93.5
89.22
89.22
88.69
90.19
92.06
91.02
94.17
95.28
99.89
99.89
101.54
98.5
99.94
99.15
99.23
99.18
101.91
102.1
104.21
105.92
107.79
106.98
103.91
103.57
102.35
104.77
106.3
106.54
105.93
106.78
107.55
109.57
110.01
112.39
113.42
113.52
113.13
114.48
113.9
116.12
115.2
116.03
115.77
117.45
115.76
113.74
112.62
112.53
112.28
113.93
113.93
114.98
113.32
114.5
113.64
113.84
114.86
114.86
116
117.48
116.7
113.29
109.41
111.27
109.2
110.77
108.99
111.45
111.36
112.58
109.32
110.48
112.17
112.6
114.32
116.11
116.18
115.17
115
115
113.49
112.58
111.89
109.62
107.53
107.64
108.9
109.33
109.4
109.89
108.84
106.79
105.59
109.27
108.21
107.23
108.61
110.23
108.82
110.07
106.81
110.06
110.01
110.81
110.81
110.14
110.18
109.33
110.47
110.84
111.27
109.99
108.96
108.01
107.16
108.25
107.6
110.17
110.18
109.28
109.35
109.96
109.95
110.57
109.13
108.44
110.72
110.04
110.05
110.8
110.8
112.98
113.03
112.58
112.49
113.03
113.07
112.97
110.3
111.32
111.72
110.97
111.01
111.71
111.71
112.72
113.68
114.59
113.88
113.92
115.22
115.42
115.55
115.55
116.06
117.03
116.61
117.17
118.9
118.29
117.89
118.43
118.48
117.4
117.4
117.04
116.23
114.19
113.74
114.55
112.96
112.24
112.2
110.14
109.9
110.42
110.27
110.42
108.91
108.64
108.48
107.51
108.1
109.32
108.54
106.91
108.27
106.41
106.51
106.66
107.1
108.46
108.76
109.66
107.82
105.09
103.98
103.16
104.08
104.8
103.62
100.58
99.32
97.88
96.84
97.48
99.07
99.25
101.62
102.39
102.88
101.53
100.32
104.6
105
105.18
103.79
103.59
